Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
149.0,0,0.0,0.0,0.0,0.0,0,9.0,9.8,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
123.0,0,0.0,0.0,0.0,0.0,0,5.0,6.6,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
150.0,0,0.0,0.0,0.0,0.0,0,4.0,11.4,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
143.0,0,0.0,0.0,0.0,0.0,0,7.0,13.1,0.0,0.0,0,1.0,0,0,0,0,'In Moderation'
110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
142.0,0,0.0,0.0,0.0,0.0,0,12.0,10.6,0.0,0.0,0,1.2,0,0,0,0,'In Moderation'
102.0,0,0.0,0.0,0.0,0.0,0,13.0,5.0,0.0,0.0,0,0.7,0,0,0,0,'In Moderation'
145.0,0,0.0,0.0,0.0,0.0,0,17.0,11.0,0.0,0.0,0,1.2,0,0,0,0,'In Moderation'
171.0,0,0.0,0.0,0.0,0.0,0,8.0,13.7,0.0,0.0,0,2.5,0,0,0,0,'In Moderation'
145.0,0,0.0,0.0,0.0,0.0,0,0.0,10.6,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.6,0.0,0.0,0,0.9,0,0,0,0,'In Moderation'
148.0,0,0.0,0.0,0.0,0.0,0,0.0,8.9,0.0,0.0,0,1.3,0,0,0,0,'In Moderation'
110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.5,0.0,0.0,0,0.8,0,0,0,0,'In Moderation'
130.0,0,0.0,0.0,0.0,0.0,0,0.0,7.8,0.0,0.0,0,1.1,0,0,0,0,'In Moderation'
99.0,0,0.0,0.0,0.0,0.0,0,0.0,3.1,0.0,0.0,0,0.7,0,0,0,0,'Less Often'
208.0,0,0.0,0.0,0.0,0.0,0,5.0,26.8,0.0,0.0,0,1.5,0,0,0,0,'Less Often'
207.0,0,0.0,0.0,0.0,0.0,0,9.0,28.0,0.0,0.0,0,1.1,0,0,0,0,'Less Often'
194.0,0,0.0,0.0,0.0,0.0,0,12.0,18.8,0.0,0.0,0,1.8,0,0,0,0,'Less Often'
170.0,0,0.0,0.0,0.0,0.0,0,7.0,16.8,0.0,0.0,0,1.4,0,0,0,0,'Less Often'
