,city_development_index,training_hours,company_size,experience,education_level,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,target
0,0.698,43.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.624,204.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2,0.8156865053107117,14.317001271694828,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
3,0.903873553466546,18.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4,0.624,111.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.579,64.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,0.91,9.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.624,84.32700525310494,1.3459894937901076,0.3270052531049462,2.0,0.3270052531049462,0.0,0.0,0.0,0.0,0.6729947468950538,1.0
8,0.887,154.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,0.92,25.0,2.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,0.92,15.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.8736594497616956,68.0,2.0,20.530332261098263,2.0,0.0,0.1565559129672444,0.0,0.0,0.0,0.8434440870327555,1.0
12,0.897,216.0,3.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,0.91,24.0,7.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,0.55,37.70501631658394,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,0.92,110.0,2.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16,0.624,28.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17,0.9351007818537018,13.92910512461276,2.9291051246127617,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
