,Calories,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Sugar Alcohol,Protein,Vitamin A,Vitamin C,Calcium,Iron,class
0,149.0,0,0.0,0.0,0.0,0.0,0,9.0,9.8,0.0,0.0,0,1.3,0,0,0,0,0
1,123.0,0,0.0,0.0,0.0,0.0,0,5.0,6.6,0.0,0.0,0,0.8,0,0,0,0,0
2,150.0,0,0.0,0.0,0.0,0.0,0,4.0,11.4,0.0,0.0,0,1.3,0,0,0,0,0
3,110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,0
4,143.0,0,0.0,0.0,0.0,0.0,0,7.0,13.1,0.0,0.0,0,1.0,0,0,0,0,0
5,110.0,0,0.0,0.0,0.0,0.0,0,6.0,7.0,0.0,0.0,0,0.8,0,0,0,0,0
6,142.0,0,0.0,0.0,0.0,0.0,0,12.0,10.6,0.0,0.0,0,1.2,0,0,0,0,0
7,102.0,0,0.0,0.0,0.0,0.0,0,13.0,5.0,0.0,0.0,0,0.7,0,0,0,0,0
8,145.0,0,0.0,0.0,0.0,0.0,0,17.0,11.0,0.0,0.0,0,1.2,0,0,0,0,0
9,171.0,0,0.0,0.0,0.0,0.0,0,8.0,13.7,0.0,0.0,0,2.5,0,0,0,0,0
10,145.0,0,0.0,0.0,0.0,0.0,0,0.0,10.6,0.0,0.0,0,1.3,0,0,0,0,0
11,110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.6,0.0,0.0,0,0.9,0,0,0,0,0
12,148.0,0,0.0,0.0,0.0,0.0,0,0.0,8.9,0.0,0.0,0,1.3,0,0,0,0,0
13,110.0,0,0.0,0.0,0.0,0.0,0,0.0,6.5,0.0,0.0,0,0.8,0,0,0,0,0
14,130.0,0,0.0,0.0,0.0,0.0,0,0.0,7.8,0.0,0.0,0,1.1,0,0,0,0,0
15,2.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
16,0.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
17,3.0,0,0.0,0.0,0.0,0.0,0,32.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
18,1.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
19,1.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
20,0.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
21,1.0,0,0.0,0.0,0.0,0.0,0,24.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1
22,97.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
23,97.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
24,97.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0
